threat_type,flee_status,armed_with,city,state,latitude,longitude,age,gender,race,was_mental_illness_related,body_camera,year,row_id,has_gun,has_knife,has_blunt_object,has_vehicle,has_replica,has_unarmed,has_other,race_std,share_white,share_black,share_native_american,share_asian,share_hispanic,share_two_or_more,share_missing
shoot,not,gun,miami,FL,25.7622351,-80.1958319,40.0,female,W,False,False,2021,1305,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,other,gun,redding,CA,40.5644281,-122.3908289,26.0,male,W,False,False,2021,1306,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,not,gun,philadelphia,PA,40.0354442,-75.1474534,24.0,male,B,False,False,2021,1307,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
threat,not,replica,daly city,CA,37.6994426,-122.4690216,44.0,male,B,False,False,2021,1308,0,0,0,0,1,0,0,B,0,1,0,0,0,0,0
point,not,gun,tallahassee,FL,30.4519999,-84.317356,38.0,male,B,False,True,2021,1309,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
threat,not,blunt_object,whitewater,CA,33.9242025,-116.6417592,40.0,male,,False,False,2021,1310,0,0,1,0,0,0,0,NAN,0,0,0,0,0,0,1
shoot,not,gun,bethel township,OH,39.9785629,-83.9459786,50.0,male,W,False,False,2021,1311,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,foot,gun,georgetown,KY,38.2238057,-84.5335533,31.0,male,B,False,False,2021,1312,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
undetermined,nan,undetermined,hotchkiss,CO,38.7990193,-107.719525,26.0,female,W,False,False,2021,1313,0,0,0,0,0,0,1,W,1,0,0,0,0,0,0
point,not,gun,lena,IL,42.3794586,-89.8223426,52.0,male,W,False,False,2021,1314,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
point,nan,gun,metairie,LA,30.0026771,-90.2103072,30.0,male,B,False,False,2021,1316,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
threat,not,blunt_object,rockford,IL,42.2436319,-88.9987674,27.0,male,B,False,True,2021,1317,0,0,1,0,0,0,0,B,0,1,0,0,0,0,0
point,not,knife,san marcos,TX,29.8743832,-97.9326911,31.0,male,A,False,False,2021,1318,0,1,0,0,0,0,0,A,0,0,0,1,0,0,0
shoot,not,gun,salt lake city,UT,Unknown/Missing,Unknown/Missing,31.0,male,W,False,False,2021,1319,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
accident,nan,undetermined,brooklyn center,MN,45.06936131805795,-93.34082810836932,20.0,male,B,False,True,2021,1320,0,0,0,0,0,0,1,B,0,1,0,0,0,0,0
threat,nan,unknown,del rio,TX,Unknown/Missing,Unknown/Missing,34.0,female,W,False,False,2021,1321,0,0,0,0,0,0,1,W,1,0,0,0,0,0,0
shoot,car,gun,bremen,GA,33.6281642,-84.9915887,28.0,male,B,False,False,2021,1322,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
threat,foot,gun,knoxville,TN,35.9898522,-83.8873047,17.0,male,B,False,True,2021,1323,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
point,not,gun,westerville,OH,40.1147302,-82.9461437,27.0,male,B,False,True,2021,1324,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
threat,not,knife,decatur,GA,33.7118556,-84.190208,35.0,male,B,True,True,2021,1325,0,1,0,0,0,0,0,B,0,1,0,0,0,0,0
point,not,knife,leonardtown,MD,38.3002778,-76.6337578,16.0,male,W,False,False,2021,1326,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
point,not,gun,garden city,ID,43.6486806,-116.2652491,58.0,male,W,False,False,2021,1327,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
point,not,gun,saltlick township,PA,40.0612487,-79.4357039,67.0,male,W,False,False,2021,1328,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,other,gun,san diego,CA,32.7200025,-117.1531757,36.0,male,H,False,False,2021,1329,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
threat,nan,unknown,mars hill,ME,46.5263803,-67.8671657,28.0,male,W,False,False,2021,1330,0,0,0,0,0,0,1,W,1,0,0,0,0,0,0
threat,not,knife,houston,TX,29.812258,-95.1571553,46.0,male,H,True,True,2021,1331,0,1,0,0,0,0,0,H,0,0,0,0,1,0,0
attack,nan,unarmed,honolulu,HI,21.3192901,-157.8484148,29.0,male,B,False,True,2021,1332,0,0,0,0,0,1,0,B,0,1,0,0,0,0,0
shoot,nan,gun,san antonio,TX,29.5311973,-98.4683484,46.0,male,H,True,False,2021,1333,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
threat,not,knife,north lauderdale,FL,26.2073068,-80.2221728,26.0,male,W,True,False,2021,1334,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,other,gun,roswell,NM,Unknown/Missing,Unknown/Missing,22.0,male,H,False,False,2021,1335,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
shoot,other,gun,tuscaloosa,AL,33.1663334,-87.538597,29.0,male,B,False,True,2021,1336,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
point,foot,gun,cleveland,OH,Unknown/Missing,Unknown/Missing,25.0,male,B,False,True,2021,1337,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
undetermined,not,undetermined,san antonio,TX,29.4065245,-98.6240868,33.0,male,W,False,True,2021,1338,0,0,0,0,0,0,1,W,1,0,0,0,0,0,0
shoot,nan,gun,san antonio,TX,29.4065245,-98.6240868,25.0,male,H,False,True,2021,1339,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
threat,nan,replica,portland,OR,45.4868766,-122.5723097,46.0,male,W,False,False,2021,1340,0,0,0,0,1,0,0,W,1,0,0,0,0,0,0
